[2026-06-10T11:06:24.223Z] GET http://localhost:8742/ → 200 (13ms, 13740B)
[2026-06-10T11:06:24.244Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,400;0,9..144,500;0,9..144,600;1,9..144,400&family=Inter:wght@400;500;600&display=swap → 200 (379ms, 1426B)
[2026-06-10T11:06:24.244Z] GET http://localhost:8742/css/style.css → 200 (3ms, 13052B)
[2026-06-10T11:06:24.244Z] GET http://localhost:8742/assets/photo.jpg → 404 (4ms, 150B)
[2026-06-10T11:06:24.244Z] GET http://localhost:8742/js/main.js → 200 (7ms, 1603B)
[2026-06-10T11:06:24.670Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → pending (?ms, ?B)
[2026-06-10T11:06:24.670Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → pending (?ms, ?B)
[2026-06-10T11:06:24.670Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NUs8FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChJdt9hFwpX9W37ll9_mv0iQublWII.woff2 → pending (?ms, ?B)
[2026-06-10T11:06:32.227Z] GET http://localhost:8742/ → 200 (1ms, ?B)
[2026-06-10T11:06:32.231Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,400;0,9..144,500;0,9..144,600;1,9..144,400&family=Inter:wght@400;500;600&display=swap → 200 (1ms, -743B)
[2026-06-10T11:06:32.232Z] GET http://localhost:8742/css/style.css → 304 (?ms, ?B)
[2026-06-10T11:06:32.232Z] GET http://localhost:8742/assets/photo.jpg → 404 (?ms, 150B)
[2026-06-10T11:06:32.232Z] GET http://localhost:8742/js/main.js → 304 (?ms, ?B)
[2026-06-10T11:06:32.245Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NUs8FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChJdt9hFwpX9W37ll9_mv0iQublWII.woff2 → 200 (?ms, -815B)
[2026-06-10T11:06:32.245Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (?ms, -815B)
[2026-06-10T11:06:32.245Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -815B)
[2026-06-10T11:06:52.193Z] GET http://localhost:8742/ → 200 (1ms, 13841B)
[2026-06-10T11:06:52.197Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,400;0,9..144,500;0,9..144,600;1,9..144,400&family=Inter:wght@400;500;600&display=swap → 200 (3ms, -743B)
[2026-06-10T11:06:52.200Z] GET http://localhost:8742/css/style.css → 304 (?ms, ?B)
[2026-06-10T11:06:52.200Z] GET http://localhost:8742/assets/photo.jpg → 404 (?ms, 150B)
[2026-06-10T11:06:52.200Z] GET http://localhost:8742/js/main.js → 304 (?ms, ?B)
[2026-06-10T11:06:52.210Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NUs8FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChJdt9hFwpX9W37ll9_mv0iQublWII.woff2 → 200 (?ms, -815B)
[2026-06-10T11:06:52.210Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (?ms, -815B)
[2026-06-10T11:06:52.211Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-06-10T11:07:28.821Z] GET http://localhost:8742/ → 200 (1ms, ?B)
[2026-06-10T11:07:28.825Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,400;0,9..144,500;0,9..144,600;1,9..144,400&family=Inter:wght@400;500;600&display=swap → 200 (?ms, -743B)
[2026-06-10T11:07:28.825Z] GET http://localhost:8742/css/style.css → 304 (1ms, ?B)
[2026-06-10T11:07:28.825Z] GET http://localhost:8742/assets/photo.jpg → 404 (1ms, 150B)
[2026-06-10T11:07:28.825Z] GET http://localhost:8742/js/main.js → 304 (1ms, ?B)
[2026-06-10T11:07:28.838Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NUs8FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChJdt9hFwpX9W37ll9_mv0iQublWII.woff2 → 200 (?ms, -815B)
[2026-06-10T11:07:28.838Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (?ms, -815B)
[2026-06-10T11:07:28.838Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-06-10T11:14:02.625Z] GET http://localhost:8742/ → 200 (23ms, 14106B)
[2026-06-10T11:14:02.681Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,400;0,9..144,500;0,9..144,600;1,9..144,400&family=Inter:wght@400;500;600&display=swap → 200 (?ms, -743B)
[2026-06-10T11:14:02.683Z] GET http://localhost:8742/css/style.css → 304 (2ms, ?B)
[2026-06-10T11:14:02.683Z] GET http://localhost:8742/assets/photo.jpg → 404 (?ms, 150B)
[2026-06-10T11:14:02.683Z] GET http://localhost:8742/js/main.js → 304 (2ms, ?B)
[2026-06-10T11:14:02.721Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NUs8FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChJdt9hFwpX9W37ll9_mv0iQublWII.woff2 → 200 (1ms, -815B)
[2026-06-10T11:14:02.722Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (?ms, -815B)
[2026-06-10T11:14:02.722Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-06-10T11:16:08.274Z] GET http://localhost:8742/ → 200 (4ms, 12082B)
[2026-06-10T11:16:08.285Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,400;0,9..144,500;0,9..144,600;1,9..144,400&family=Inter:wght@400;500;600&display=swap → 200 (6ms, -743B)
[2026-06-10T11:16:08.292Z] GET http://localhost:8742/css/style.css → 200 (2ms, 11972B)
[2026-06-10T11:16:08.292Z] GET http://localhost:8742/assets/photo.jpg → 404 (1ms, 150B)
[2026-06-10T11:16:08.292Z] GET http://localhost:8742/js/main.js → 304 (2ms, ?B)
[2026-06-10T11:16:08.309Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NUs8FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChJdt9hFwpX9W37ll9_mv0iQublWII.woff2 → 200 (1ms, -815B)
[2026-06-10T11:16:08.310Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (?ms, -815B)
[2026-06-10T11:16:08.310Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-06-10T11:20:21.673Z] GET http://localhost:8742/ → 200 (12ms, 12568B)
[2026-06-10T11:20:21.686Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,400;0,9..144,500;0,9..144,600;1,9..144,400&family=Inter:wght@400;500;600&display=swap → 200 (1ms, -743B)
[2026-06-10T11:20:21.688Z] GET http://localhost:8742/css/style.css → 200 (1ms, 12666B)
[2026-06-10T11:20:21.688Z] GET http://localhost:8742/assets/photo.jpg → 200 (1ms, 300236B)
[2026-06-10T11:20:21.688Z] GET http://localhost:8742/js/main.js → 304 (4ms, ?B)
[2026-06-10T11:20:21.710Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NUs8FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChJdt9hFwpX9W37ll9_mv0iQublWII.woff2 → 200 (?ms, -815B)
[2026-06-10T11:20:21.710Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (?ms, -815B)
[2026-06-10T11:20:21.711Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-06-10T11:22:06.879Z] GET http://localhost:8742/ → 200 (2ms, ?B)
[2026-06-10T11:22:06.895Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,400;0,9..144,500;0,9..144,600;1,9..144,400&family=Inter:wght@400;500;600&display=swap → 200 (?ms, -743B)
[2026-06-10T11:22:06.896Z] GET http://localhost:8742/css/style.css → 200 (?ms, 12790B)
[2026-06-10T11:22:06.896Z] GET http://localhost:8742/assets/photo.jpg → 304 (1ms, ?B)
[2026-06-10T11:22:06.896Z] GET http://localhost:8742/js/main.js → 304 (1ms, ?B)
[2026-06-10T11:22:06.906Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NUs8FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChJdt9hFwpX9W37ll9_mv0iQublWII.woff2 → 200 (?ms, -815B)
[2026-06-10T11:22:06.906Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (?ms, -815B)
[2026-06-10T11:22:06.906Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (2ms, -815B)
[2026-06-10T11:22:08.742Z] GET http://localhost:8742/assets/iit-jodhpur.jpg → 200 (3ms, 257943B)
[2026-06-10T11:22:08.742Z] GET http://localhost:8742/assets/travel.jpg → 200 (3ms, 358756B)
[2026-06-10T11:22:08.758Z] GET http://localhost:8742/assets/mountains.jpg → 200 (1ms, 175129B)
[2026-06-10T11:26:36.768Z] GET https://gulshanyadav01.github.io/ → 200 (325ms, ?B)
[2026-06-10T11:26:37.104Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,400;0,9..144,500;0,9..144,600;1,9..144,400&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-10T11:26:37.104Z] GET https://gulshanyadav01.github.io/css/style.css → pending (?ms, ?B)
[2026-06-10T11:26:37.104Z] GET https://gulshanyadav01.github.io/assets/photo.jpg → pending (?ms, ?B)
[2026-06-10T11:26:37.104Z] GET https://gulshanyadav01.github.io/js/main.js → pending (?ms, ?B)
[2026-06-10T11:26:37.436Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -815B)
[2026-06-10T11:26:37.437Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (1ms, -815B)
[2026-06-10T11:26:37.437Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NUs8FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChJdt9hFwpX9W37ll9_mv0iQublWII.woff2 → 200 (1ms, -815B)
[2026-06-10T11:26:37.437Z] GET https://gulshanyadav01.github.io/assets/iit-jodhpur.jpg → 200 (390ms, 258223B)
[2026-06-10T11:26:37.437Z] GET https://gulshanyadav01.github.io/assets/mountains.jpg → 200 (345ms, 175495B)
